"Country","Year","Installation"
"China",2014,114763
"China",2015,145104
"China",2016,168690
"China",2017,188232
"China",2018,211392
"China",2019,236320
"China",2020,281993
"China",2021,328973
"European Union",2014,128752
"European Union",2015,141579
"European Union",2016,153730
"European Union",2017,169319
"European Union",2018,178826
"European Union",2019,192020
"European Union",2020,201507
"European Union",2021,187497
"United States",2014,65879
"United States",2015,74472
"United States",2016,82183
"United States",2017,89077
"United States",2018,96665
"United States",2019,105466
"United States",2020,117744
"United States",2021,132738
"Germany",2014,39165
"Germany",2015,44947
"Germany",2016,50019
"Germany",2017,56132
"Germany",2018,59311
"Germany",2019,61357
"Germany",2020,62184
"Germany",2021,63760
"India",2014,22465
"India",2015,27151
"India",2016,28665
"India",2017,32848
"India",2018,35129
"India",2019,37506
"India",2020,38559
"India",2021,40067
"Spain",2014,22987
"Spain",2015,23025
"Spain",2016,23075
"Spain",2017,23170
"Spain",2018,23494
"Spain",2019,25808
"Spain",2020,27089
"Spain",2021,27497
"United Kingdom",2014,12440
"United Kingdom",2015,13603
"United Kingdom",2016,15030
"United Kingdom",2017,18872
"United Kingdom",2018,20970
"United Kingdom",2019,23515
"United Kingdom",2020,24665
"United Kingdom",2021,27130
"Brazil",2014,5939
"Brazil",2015,8715
"Brazil",2016,10740
"Brazil",2017,12763
"Brazil",2018,14707
"Brazil",2019,15452
"Brazil",2020,17198
"Brazil",2021,21161
"France",2014,9285
"France",2015,10358
"France",2016,12065
"France",2017,13759
"France",2018,15309
"France",2019,16643
"France",2020,17382
"France",2021,18676
"Canada",2014,9694
"Canada",2015,11205
"Canada",2016,11898
"Canada",2017,12239
"Canada",2018,12816
"Canada",2019,13413
"Canada",2020,13577
"Canada",2021,14304
"Sweden",2014,5425
"Sweden",2015,6025
"Sweden",2016,6519
"Sweden",2017,6691
"Sweden",2018,7407
"Sweden",2019,8804
"Sweden",2020,9688
"Sweden",2021,12080
"Italy",2014,8663
"Italy",2015,8958
"Italy",2016,9257
"Italy",2017,9479
"Italy",2018,9958
"Italy",2019,10512
"Italy",2020,10839
"Italy",2021,11276
"Turkey",2014,3763
"Turkey",2015,4718
"Turkey",2016,6101
"Turkey",2017,6516
"Turkey",2018,7369
"Turkey",2019,8056
"Turkey",2020,8832
"Turkey",2021,10607
"Australia",2014,3806
"Australia",2015,4187
"Australia",2016,4327
"Australia",2017,4557
"Australia",2018,5362
"Australia",2019,6199
"Australia",2020,8603
"Australia",2021,8951
"Netherlands",2014,2805
"Netherlands",2015,3431
"Netherlands",2016,4328
"Netherlands",2017,4341
"Netherlands",2018,4471
"Netherlands",2019,4600
"Netherlands",2020,6600
"Netherlands",2021,7801
"Mexico",2014,2551
"Mexico",2015,3073
"Mexico",2016,3527
"Mexico",2017,4005
"Mexico",2018,4935
"Mexico",2019,6215
"Mexico",2020,6504
"Mexico",2021,7692
"Denmark",2014,4845
"Denmark",2015,5063
"Denmark",2016,5227
"Denmark",2017,5476
"Denmark",2018,5758
"Denmark",2019,6128
"Denmark",2020,6235
"Denmark",2021,7014
"Poland",2014,3834
"Poland",2015,5100
"Poland",2016,5782
"Poland",2017,6397
"Poland",2018,5864
"Poland",2019,5917
"Poland",2020,6267
"Poland",2021,6958
"Portugal",2014,4914
"Portugal",2015,5079
"Portugal",2016,5316
"Portugal",2017,5316
"Portugal",2018,5380
"Portugal",2019,5437
"Portugal",2020,5239
"Portugal",2021,5248
"Belgium",2014,1959
"Belgium",2015,2229
"Belgium",2016,2386
"Belgium",2017,2843
"Belgium",2018,3360
"Belgium",2019,3879
"Belgium",2020,4692
"Belgium",2021,4780
"Norway[35][36]",2014,819
"Norway[35][36]",2015,838
"Norway[35][36]",2016,838
"Norway[35][36]",2017,1162
"Norway[35][36]",2018,1675
"Norway[35][36]",2019,2444
"Norway[35][36]",2020,3977
"Norway[35][36]",2021,4650
"Japan",2014,2789
"Japan",2015,3038
"Japan",2016,3234
"Japan",2017,3400
"Japan",2018,3661
"Japan",2019,3923
"Japan",2020,4206
"Japan",2021,4471
"Greece",2014,1980
"Greece",2015,2152
"Greece",2016,2374
"Greece",2017,2651
"Greece",2018,2844
"Greece",2019,3576
"Greece",2020,4113
"Greece",2021,4457
"Ireland",2014,2272
"Ireland",2015,2486
"Ireland",2016,2830
"Ireland",2017,3127
"Ireland",2018,3564
"Ireland",2019,4155
"Ireland",2020,4300
"Ireland",2021,4332
"Austria",2014,2095
"Austria",2015,2412
"Austria",2016,2632
"Austria",2017,2828
"Austria",2018,3045
"Austria",2019,3159
"Austria",2020,3224
"Austria",2021,3524
"Argentina",2014,204
"Argentina",2015,204
"Argentina",2016,204
"Argentina",2017,228
"Argentina",2018,722
"Argentina",2019,1604
"Argentina",2020,2624
"Argentina",2021,3292
"Finland",2014,627
"Finland",2015,1005
"Finland",2016,1539
"Finland",2017,2113
"Finland",2018,2041
"Finland",2019,2284
"Finland",2020,2474
"Finland",2021,3257
"Chile",2014,836
"Chile",2015,933
"Chile",2016,1424
"Chile",2017,1540
"Chile",2018,1621
"Chile",2019,2150
"Chile",2020,2149
"Chile",2021,3137
"Romania",2014,2953
"Romania",2015,2976
"Romania",2016,3028
"Romania",2017,3029
"Romania",2018,3029
"Romania",2019,3029
"Romania",2020,3013
"Romania",2021,3013
"South Africa",2014,570
"South Africa",2015,1053
"South Africa",2016,1471
"South Africa",2017,2094
"South Africa",2018,2085
"South Africa",2019,2085
"South Africa",2020,2636
"South Africa",2021,2956
"Ukraine",2014,498
"Ukraine",2015,514
"Ukraine",2016,526
"Ukraine",2017,593
